title,price,location,size_m2,url,page
Apartment to purchase. Area 80 m². Well furnished,Price on request,Kélibia,"80
						m²",N/A,7
Sell apartment. Total area 140 m². Fully furnished,"350,000 TND",Kélibia,"140
						m²",N/A,7
Apartment to purchase in Chotrana 3. Dimension 85 m². Carpar...,"480,000 TND",La Soukra,"480
						m²",N/A,7
Find an apartment to buy. 2 rooms. Garden and lift,"320,000 TND",Kélibia,"83
						m²",N/A,7
N/A,N/A,N/A,N/A,N/A,7
Sale of a lovely apartment in Cité El Agba. 2 large living a...,Price on request,Monastir Ville,N/A,N/A,8
Find an apartment to buy in Bou Mhel. 4 large rooms. Double...,"407,000 TND",Boumhel Bassatine,"129
						m²",N/A,8
Beautiful apartment for sale in Ezzahra. Total area 116 m²...,"287,000 TND",Ezzahra,"116
						m²",N/A,8
Beautiful apartment for sale in Les Jardins d'El Menzah 2. D...,Price on request,Ariana Ville,2 Rooms,N/A,8
Fabulous apartment for sale in La Soukra. 1 room. Parking sp...,"310,000 TND",La Soukra,"65
						m²",N/A,8
